caseid,timestamp
Case1,2020-08-17 14:03:59
Case2,2020-08-17 15:41:09
Case3,2020-08-17 17:33:17
Case4,2020-08-17 18:31:15
Case5,2020-08-17 19:41:10
Case6,2020-08-17 20:18:05
Case7,2020-08-17 21:24:55
Case8,2020-08-17 23:13:05
Case9,2020-08-18 00:07:28
Case10,2020-08-18 01:06:08
Case11,2020-08-18 02:23:34
Case12,2020-08-18 09:05:21
Case13,2020-08-18 10:45:05
Case14,2020-08-18 12:35:32
Case15,2020-08-18 13:09:31
Case16,2020-08-18 14:08:16
Case17,2020-08-18 15:03:32
Case18,2020-08-18 16:16:59
Case19,2020-08-18 17:13:31
Case20,2020-08-18 18:24:02
Case21,2020-08-18 19:24:10
Case22,2020-08-18 20:48:43
Case23,2020-08-19 03:42:47
Case24,2020-08-19 06:35:34
Case25,2020-08-19 09:14:01
Case26,2020-08-19 10:20:16
Case27,2020-08-19 11:25:48
Case28,2020-08-19 13:36:20
Case29,2020-08-19 14:07:57
Case30,2020-08-19 16:57:37
Case31,2020-08-19 18:28:13
Case32,2020-08-19 19:17:17
Case33,2020-08-19 22:20:51
Case34,2020-08-20 05:36:08
Case35,2020-08-20 08:05:00
Case36,2020-08-20 09:52:00
Case37,2020-08-20 11:56:10
Case38,2020-08-20 12:14:36
Case39,2020-08-20 13:49:06
Case40,2020-08-20 15:37:38
Case41,2020-08-20 16:50:30
Case42,2020-08-20 17:15:20
Case43,2020-08-20 18:30:55
Case44,2020-08-20 19:31:10
Case45,2020-08-20 21:12:21
Case46,2020-08-20 22:11:48
Case47,2020-08-21 03:02:45
Case48,2020-08-21 05:34:55
Case49,2020-08-21 06:46:57
Case50,2020-08-21 08:38:41
Case51,2020-08-21 10:40:50
Case52,2020-08-21 12:20:02
Case53,2020-08-21 13:37:57
Case54,2020-08-21 14:48:32
Case55,2020-08-21 15:06:05
Case56,2020-08-21 16:10:45
Case57,2020-08-21 17:31:04
Case58,2020-08-21 18:32:48
Case59,2020-08-21 19:36:52
Case60,2020-08-21 22:46:38
Case61,2020-08-22 01:16:37
Case62,2020-08-22 04:45:50
Case63,2020-08-22 11:40:40
Case64,2020-08-22 12:44:40
Case65,2020-08-22 13:23:09
Case66,2020-08-22 14:05:31
Case67,2020-08-22 15:49:04
Case68,2020-08-22 16:26:09
Case69,2020-08-22 17:32:50
Case70,2020-08-22 18:01:27
Case71,2020-08-22 19:44:33
Case72,2020-08-23 01:58:16
Case73,2020-08-23 13:37:31
Case74,2020-08-23 15:52:38
Case75,2020-08-23 16:01:00
Case76,2020-08-23 17:45:51
Case77,2020-08-23 18:34:33
Case78,2020-08-23 20:35:26
Case79,2020-08-23 21:58:22
Case80,2020-08-24 00:20:48
Case81,2020-08-24 01:39:52
Case82,2020-08-24 03:30:20
Case83,2020-08-24 05:49:08
Case84,2020-08-24 07:47:35
Case85,2020-08-24 10:40:04
Case86,2020-08-24 12:18:56
Case87,2020-08-24 13:07:23
Case88,2020-08-24 14:11:41
Case89,2020-08-24 16:15:09
Case90,2020-08-24 17:53:56
Case91,2020-08-24 18:01:52
Case92,2020-08-24 19:53:42
Case93,2020-08-24 20:58:54
Case94,2020-08-25 00:53:43
Case95,2020-08-25 02:26:26
Case96,2020-08-25 03:52:00
Case97,2020-08-25 06:18:23
Case98,2020-08-25 07:33:29
Case99,2020-08-25 09:17:57
Case100,2020-08-25 10:44:40
Case101,2020-08-25 11:07:39
Case102,2020-08-25 12:25:57
Case103,2020-08-25 13:26:35
Case104,2020-08-25 14:21:35
Case105,2020-08-25 15:21:28
Case106,2020-08-25 16:12:56
Case107,2020-08-25 17:25:53
Case108,2020-08-25 18:24:41
Case109,2020-08-25 19:04:52
Case110,2020-08-25 20:18:41
Case111,2020-08-25 22:44:51
Case112,2020-08-26 00:43:33
Case113,2020-08-26 03:53:49
Case114,2020-08-26 04:31:09
Case115,2020-08-26 11:29:29
Case116,2020-08-26 12:29:43
Case117,2020-08-26 13:54:19
Case118,2020-08-26 14:01:44
Case119,2020-08-26 16:13:40
Case120,2020-08-26 17:56:39
Case121,2020-08-26 18:15:41
Case122,2020-08-26 19:24:58
Case123,2020-08-26 20:21:36
Case124,2020-08-26 21:52:09
Case125,2020-08-27 01:27:22
Case126,2020-08-27 02:15:36
Case127,2020-08-27 05:56:37
Case128,2020-08-27 07:37:01
Case129,2020-08-27 13:54:22
Case130,2020-08-27 14:26:00
Case131,2020-08-27 16:15:59
Case132,2020-08-27 17:01:55
Case133,2020-08-27 18:55:20
Case134,2020-08-27 19:32:01
Case135,2020-08-27 20:50:37
Case136,2020-08-27 22:22:06
Case137,2020-08-28 03:11:07
Case138,2020-08-28 04:31:52
Case139,2020-08-28 05:14:09
Case140,2020-08-28 08:47:49
Case141,2020-08-28 10:22:53
Case142,2020-08-28 11:15:33
Case143,2020-08-28 12:38:31
Case144,2020-08-28 13:45:00
Case145,2020-08-28 14:15:49
Case146,2020-08-28 15:14:06
Case147,2020-08-28 16:38:32
Case148,2020-08-28 17:12:00
Case149,2020-08-28 18:59:46
Case150,2020-08-28 19:35:11
Case151,2020-08-28 20:01:39
Case152,2020-08-28 21:12:16
Case153,2020-08-28 22:33:59
Case154,2020-08-29 02:53:53
Case155,2020-08-29 11:56:52
Case156,2020-08-29 13:14:29
Case157,2020-08-29 14:19:30
Case158,2020-08-29 15:07:01
Case159,2020-08-29 16:11:38
