caseid,task,user,time:timestamp,start:timestamp,role,ac_index,rl_index
209066,W_Completeren aanvraag,11009.0,2012-02-14 13:50:38.983,2012-02-14 13:47:53.817,Role 1,3.0,1.0
209066,W_Completeren aanvraag,11000.0,2012-02-14 16:57:29.356,2012-02-14 16:47:24.086,Role 1,3.0,1.0
209066,W_Nabellen offertes,11309.0,2012-02-21 20:20:07.328,2012-02-21 20:16:48.215,Role 1,5.0,1.0
209066,W_Nabellen offertes,10861.0,2012-02-29 15:45:13.186,2012-02-29 15:33:34.508,Role 1,5.0,1.0
209066,W_Nabellen offertes,11299.0,2012-03-09 17:30:14.353,2012-03-09 17:21:42.843,Role 1,5.0,1.0
209111,W_Completeren aanvraag,10982.0,2012-02-14 15:05:27.195,2012-02-14 15:04:13.242,Role 1,3.0,1.0
209111,W_Completeren aanvraag,10861.0,2012-02-14 17:48:56.878,2012-02-14 17:48:47.133,Role 1,3.0,1.0
209111,W_Completeren aanvraag,11180.0,2012-02-14 19:16:49.481,2012-02-14 19:06:47.526,Role 1,3.0,1.0
209111,W_Nabellen offertes,11180.0,2012-02-14 19:18:48.506,2012-02-14 19:17:00.368,Role 1,5.0,1.0
209111,W_Nabellen offertes,11309.0,2012-02-21 21:11:54.037,2012-02-21 21:09:30.617,Role 1,5.0,1.0
209111,W_Nabellen offertes,10861.0,2012-02-29 16:02:41.826,2012-02-29 16:02:27.085,Role 1,5.0,1.0
209135,W_Completeren aanvraag,11203.0,2012-02-14 15:49:42.335,2012-02-14 15:47:45.979,Role 1,3.0,1.0
209135,W_Completeren aanvraag,11122.0,2012-02-14 19:12:22.229,2012-02-14 19:09:21.906,Role 1,3.0,1.0
209135,W_Completeren aanvraag,11122.0,2012-02-14 19:19:49.275,2012-02-14 19:12:38.034,Role 1,3.0,1.0
209135,W_Nabellen offertes,11122.0,2012-02-14 19:29:18.275,2012-02-14 19:19:57.856,Role 1,5.0,1.0
209135,W_Nabellen offertes,11309.0,2012-02-21 21:14:30.554,2012-02-21 21:12:02.832,Role 1,5.0,1.0
209135,W_Nabellen offertes,11259.0,2012-02-22 10:52:54.348,2012-02-22 10:52:04.660,Role 1,5.0,1.0
209135,W_Valideren aanvraag,10972.0,2012-02-23 11:20:50.089,2012-02-23 10:50:32.327,Role 2,6.0,2.0
209135,W_Nabellen incomplete dossiers,11169.0,2012-02-23 11:28:07.221,2012-02-23 11:25:03.123,Role 1,4.0,1.0
209135,W_Nabellen incomplete dossiers,11259.0,2012-02-23 13:49:10.209,2012-02-23 13:48:19.092,Role 1,4.0,1.0
209135,W_Valideren aanvraag,10972.0,2012-02-23 14:22:38.451,2012-02-23 14:15:41.660,Role 2,6.0,2.0
209138,W_Completeren aanvraag,11169.0,2012-02-14 13:38:32.042,2012-02-14 13:25:17.110,Role 1,3.0,1.0
209138,W_Nabellen offertes,11003.0,2012-02-16 14:13:56.442,2012-02-16 14:13:39.380,Role 1,5.0,1.0
209138,W_Nabellen offertes,10982.0,2012-02-16 18:34:56.221,2012-02-16 18:24:34.207,Role 1,5.0,1.0
209138,W_Nabellen offertes,10982.0,2012-02-16 18:53:04.705,2012-02-16 18:52:59.785,Role 1,5.0,1.0
